snapshot,Generator 0,Generator 1,Generator 2,Electrolysis,Fuel Cell,Load 0,Load 1
2019-01-03 08:00:00+00:00,10.0,1.0,2.0,0.0,5.96497,8.289489999999999,8.289489999999999
2019-01-03 09:00:00+00:00,10.0,1.0,2.0,0.0,7.13,8.639,8.639
2019-01-03 10:00:00+00:00,10.0,1.0,2.0,0.0,7.5331,8.75993,8.75993
2019-01-03 11:00:00+00:00,10.0,1.0,2.0,0.0,7.26983,8.680950000000001,8.680950000000001
2019-01-03 12:00:00+00:00,10.0,1.0,2.0,0.0,5.83227,8.24968,8.24968
2019-01-03 13:00:00+00:00,10.0,1.0,2.0,0.0,5.91953,8.27586,8.27586
2019-01-03 14:00:00+00:00,10.0,1.0,2.0,0.0,5.55707,8.16712,8.16712
2019-01-03 15:00:00+00:00,10.0,1.0,2.0,0.0,5.43,8.129,8.129
2019-01-03 16:00:00+00:00,10.0,1.0,2.0,0.0,6.94667,8.584,8.584
2019-01-03 17:00:00+00:00,10.0,1.0,2.0,0.0,6.97667,8.593,8.593
2019-01-03 18:00:00+00:00,10.0,1.0,2.0,0.0,6.63,8.489,8.489
2019-01-03 19:00:00+00:00,10.0,1.0,2.0,0.0,5.08,8.024,8.024
2019-01-03 20:00:00+00:00,10.0,1.0,2.0,0.0,2.47573,7.24272,7.24272
2019-01-03 21:00:00+00:00,10.0,1.0,2.0,0.0,1.2002,6.860060000000001,6.860060000000001
2019-01-03 22:00:00+00:00,10.0,1.0,2.0,0.6799,0.0,6.16005,6.16005
2019-01-03 23:00:00+00:00,10.0,1.0,2.0,1.68806,0.0,5.65597,5.65597
2019-01-04 00:00:00+00:00,10.0,1.0,2.0,1.80078,0.0,5.599609999999999,5.599609999999999
2019-01-04 01:00:00+00:00,10.0,1.0,2.0,2.16638,0.0,5.416810000000001,5.416810000000001
2019-01-04 02:00:00+00:00,10.0,1.0,2.0,2.39502,0.0,5.30249,5.30249
2019-01-04 03:00:00+00:00,10.0,1.0,2.0,2.23682,0.0,5.38159,5.38159
2019-01-04 04:00:00+00:00,10.0,1.0,2.0,1.45748,0.0,5.77126,5.77126
2019-01-04 05:00:00+00:00,10.0,1.0,2.0,0.17708,0.0,6.41146,6.41146
2019-01-04 06:00:00+00:00,10.0,1.0,2.0,0.0,2.1741,7.152229999999999,7.152229999999999
2019-01-04 07:00:00+00:00,10.0,1.0,2.0,0.0,4.5,7.85,7.85
2019-01-04 08:00:00+00:00,10.0,1.0,2.0,0.0,6.10333,8.331,8.331
2019-01-04 09:00:00+00:00,10.0,1.0,2.0,0.0,6.62263,8.486790000000001,8.486790000000001
2019-01-04 10:00:00+00:00,10.0,1.0,2.0,0.0,6.92027,8.57608,8.57608
2019-01-04 11:00:00+00:00,10.0,1.0,2.0,0.0,6.64687,8.49406,8.49406
2019-01-04 12:00:00+00:00,10.0,1.0,2.0,0.0,5.82983,8.24895,8.24895
2019-01-04 13:00:00+00:00,10.0,1.0,2.0,0.0,6.70697,8.51209,8.51209
2019-01-04 14:00:00+00:00,10.0,1.0,2.0,0.0,6.56667,8.47,8.47
2019-01-04 15:00:00+00:00,10.0,1.0,2.0,0.0,6.39333,8.418,8.418
2019-01-04 16:00:00+00:00,10.0,1.0,2.0,0.0,8.02137,8.90641,8.90641
2019-01-04 17:00:00+00:00,10.0,1.0,2.0,0.0,7.70427,8.81128,8.81128
2019-01-04 18:00:00+00:00,10.0,1.0,2.0,0.0,7.09667,8.629,8.629
2019-01-04 19:00:00+00:00,10.0,1.0,2.0,0.0,4.7142,7.9142600000000005,7.9142600000000005
2019-01-04 20:00:00+00:00,10.0,1.0,2.0,0.0,3.13,7.439,7.439
2019-01-04 21:00:00+00:00,10.0,1.0,2.0,0.0,1.83,7.049,7.049
2019-01-04 22:00:00+00:00,10.0,1.0,2.0,0.2494,0.0,6.3753,6.3753
2019-01-04 23:00:00+00:00,10.0,1.0,2.0,1.33938,0.0,5.830310000000001,5.830310000000001
2019-01-05 00:00:00+00:00,10.0,1.0,2.0,1.56558,0.0,5.71721,5.71721
2019-01-05 01:00:00+00:00,10.0,1.0,2.0,1.9881,0.0,5.5059499999999995,5.5059499999999995
2019-01-05 02:00:00+00:00,10.0,1.0,2.0,2.27002,0.0,5.36499,5.36499
2019-01-05 03:00:00+00:00,10.0,1.0,2.0,2.26104,0.0,5.369479999999999,5.369479999999999
2019-01-05 04:00:00+00:00,10.0,1.0,2.0,1.8161,0.0,5.59195,5.59195
2019-01-05 05:00:00+00:00,10.0,1.0,2.0,1.15136,0.0,5.92432,5.92432
2019-01-05 06:00:00+00:00,10.0,1.0,2.0,0.17004,0.0,6.41498,6.41498
2019-01-05 07:00:00+00:00,10.0,1.0,2.0,0.0,2.20587,7.16176,7.16176
2019-01-05 08:00:00+00:00,10.0,1.0,2.0,0.0,3.60453,7.58136,7.58136
2019-01-05 09:00:00+00:00,10.0,1.0,2.0,0.0,4.55113,7.86534,7.86534
2019-01-05 10:00:00+00:00,10.0,1.0,2.0,0.0,5.02477,8.007430000000001,8.007430000000001
2019-01-05 11:00:00+00:00,10.0,1.0,2.0,0.0,4.93833,7.9815,7.9815
2019-01-05 12:00:00+00:00,10.0,1.0,2.0,0.0,4.18233,7.7547,7.7547
2019-01-05 13:00:00+00:00,10.0,1.0,2.0,0.0,4.86333,7.959,7.959
2019-01-05 14:00:00+00:00,10.0,1.0,2.0,0.0,4.6717,7.90151,7.90151
2019-01-05 15:00:00+00:00,10.0,1.0,2.0,0.0,4.74,7.922,7.922
2019-01-05 16:00:00+00:00,10.0,1.0,2.0,0.0,6.9549,8.586469999999998,8.586469999999998
2019-01-05 17:00:00+00:00,10.0,1.0,2.0,0.0,7.0364,8.61092,8.61092
2019-01-05 18:00:00+00:00,10.0,1.0,2.0,0.0,6.21963,8.36589,8.36589
2019-01-05 19:00:00+00:00,10.0,1.0,2.0,0.0,4.92363,7.9770900000000005,7.9770900000000005
2019-01-05 20:00:00+00:00,10.0,1.0,2.0,0.0,3.11943,7.43583,7.43583
2019-01-05 21:00:00+00:00,10.0,1.0,2.0,0.0,1.7497,7.02491,7.02491
2019-01-05 22:00:00+00:00,10.0,1.0,2.0,0.01414,0.0,6.49293,6.49293
2019-01-05 23:00:00+00:00,10.0,1.0,2.0,1.12504,0.0,5.93748,5.93748
2019-01-06 00:00:00+00:00,10.0,1.0,2.0,1.31998,0.0,5.84001,5.84001
2019-01-06 01:00:00+00:00,10.0,1.0,2.0,1.642,0.0,5.679,5.679
2019-01-06 02:00:00+00:00,10.0,1.0,2.0,2.066,0.0,5.467,5.467
2019-01-06 03:00:00+00:00,10.0,1.0,2.0,2.32314,0.0,5.338430000000001,5.338430000000001
2019-01-06 04:00:00+00:00,10.0,1.0,2.0,2.0797,0.0,5.46015,5.46015
2019-01-06 05:00:00+00:00,10.0,1.0,2.0,1.6023,0.0,5.69885,5.69885
2019-01-06 06:00:00+00:00,10.0,1.0,2.0,0.9037,0.0,6.04815,6.04815
2019-01-06 07:00:00+00:00,10.0,1.0,2.0,0.01402,0.0,6.49299,6.49299
2019-01-06 08:00:00+00:00,10.0,1.0,2.0,0.0,1.51767,6.9553,6.9553
2019-01-06 09:00:00+00:00,10.0,1.0,2.0,0.0,3.05947,7.41784,7.41784
2019-01-06 10:00:00+00:00,10.0,1.0,2.0,0.0,3.8327,7.64981,7.64981
2019-01-06 11:00:00+00:00,10.0,1.0,2.0,0.0,3.35493,7.50648,7.50648
2019-01-06 12:00:00+00:00,10.0,1.0,2.0,0.0,1.67947,7.00384,7.00384
2019-01-06 13:00:00+00:00,10.0,1.0,2.0,0.0,1.83823,7.05147,7.05147
2019-01-06 14:00:00+00:00,10.0,1.0,2.0,0.0,2.0072,7.10216,7.10216
2019-01-06 15:00:00+00:00,10.0,1.0,2.0,0.0,2.79773,7.33932,7.33932
2019-01-06 16:00:00+00:00,10.0,1.0,2.0,0.0,4.73057,7.91917,7.91917
2019-01-06 17:00:00+00:00,10.0,1.0,2.0,0.0,4.96493,7.9894799999999995,7.9894799999999995
2019-01-06 18:00:00+00:00,10.0,1.0,2.0,0.0,4.83,7.949,7.949
2019-01-06 19:00:00+00:00,10.0,1.0,2.0,0.0,3.86103,7.65831,7.65831
2019-01-06 20:00:00+00:00,10.0,1.0,2.0,0.0,2.33413,7.20024,7.20024
2019-01-06 21:00:00+00:00,10.0,1.0,2.0,0.0,1.08593,6.82578,6.82578
2019-01-06 22:00:00+00:00,10.0,1.0,2.0,0.65716,0.0,6.17142,6.17142
2019-01-06 23:00:00+00:00,10.0,1.0,2.0,1.72572,0.0,5.6371400000000005,5.6371400000000005
2019-01-07 00:00:00+00:00,10.0,1.0,2.0,2.02714,0.0,5.48643,5.48643
2019-01-07 01:00:00+00:00,10.0,1.0,2.0,2.3163,0.0,5.34185,5.34185
2019-01-07 02:00:00+00:00,10.0,1.0,2.0,2.50856,0.0,5.24572,5.24572
2019-01-07 03:00:00+00:00,10.0,1.0,2.0,2.23612,0.0,5.381939999999999,5.381939999999999
2019-01-07 04:00:00+00:00,10.0,1.0,2.0,1.23232,0.0,5.88384,5.88384
2019-01-07 05:00:00+00:00,10.0,1.0,2.0,0.0,0.4227,6.626810000000001,6.626810000000001
2019-01-07 06:00:00+00:00,10.0,1.0,2.0,0.0,2.99413,7.3982399999999995,7.3982399999999995
2019-01-07 07:00:00+00:00,10.0,1.0,2.0,0.0,5.63033,8.1891,8.1891
2019-01-07 08:00:00+00:00,10.0,1.0,2.0,0.0,6.56437,8.46931,8.46931
2019-01-07 09:00:00+00:00,10.0,1.0,2.0,0.0,6.88897,8.566690000000001,8.566690000000001
2019-01-07 10:00:00+00:00,10.0,1.0,2.0,0.0,7.3095,8.69285,8.69285
2019-01-07 11:00:00+00:00,10.0,1.0,2.0,0.0,7.29773,8.68932,8.68932
2019-01-07 12:00:00+00:00,10.0,1.0,2.0,0.0,6.71333,8.514,8.514
2019-01-07 13:00:00+00:00,10.0,1.0,2.0,0.0,6.86007,8.55802,8.55802
2019-01-07 14:00:00+00:00,10.0,1.0,2.0,0.0,6.62647,8.48794,8.48794
2019-01-07 15:00:00+00:00,10.0,1.0,2.0,0.0,7.0948,8.628440000000001,8.628440000000001
2019-01-07 16:00:00+00:00,10.0,1.0,2.0,0.0,8.79677,9.13903,9.13903
2019-01-07 17:00:00+00:00,10.0,1.0,2.0,0.0,8.59963,9.079889999999999,9.079889999999999
2019-01-07 18:00:00+00:00,10.0,1.0,2.0,0.0,8.08773,8.92632,8.92632
2019-01-07 19:00:00+00:00,10.0,1.0,2.0,0.0,6.4728,8.441840000000001,8.441840000000001
2019-01-07 20:00:00+00:00,10.0,1.0,2.0,0.0,4.48333,7.845,7.845
2019-01-07 21:00:00+00:00,10.0,1.0,2.0,0.0,2.70127,7.31038,7.31038
2019-01-07 22:00:00+00:00,10.0,1.0,2.0,0.0,0.2496,6.57488,6.57488
2019-01-07 23:00:00+00:00,10.0,1.0,2.0,0.989,0.0,6.0055,6.0055
2019-01-08 00:00:00+00:00,10.0,1.0,2.0,1.0771,0.0,5.96145,5.96145
2019-01-08 01:00:00+00:00,10.0,1.0,2.0,1.35436,0.0,5.82282,5.82282
2019-01-08 02:00:00+00:00,10.0,1.0,2.0,1.552,0.0,5.724,5.724
2019-01-08 03:00:00+00:00,10.0,1.0,2.0,1.32734,0.0,5.83633,5.83633
2019-01-08 04:00:00+00:00,10.0,1.0,2.0,0.42314,0.0,6.28843,6.28843
2019-01-08 05:00:00+00:00,10.0,1.0,2.0,0.0,1.92983,7.07895,7.07895
2019-01-08 06:00:00+00:00,10.0,1.0,2.0,0.0,4.42167,7.8265,7.8265
2019-01-08 07:00:00+00:00,10.0,1.0,2.0,0.0,6.85813,8.55744,8.55744
2019-01-08 08:00:00+00:00,10.0,1.0,2.0,0.0,7.94037,8.88211,8.88211
2019-01-08 09:00:00+00:00,10.0,1.0,2.0,0.0,8.2314,8.96942,8.96942
2019-01-08 10:00:00+00:00,10.0,1.0,2.0,0.0,8.2458,8.97374,8.97374
2019-01-08 11:00:00+00:00,10.0,1.0,2.0,0.0,7.87917,8.86375,8.86375
2019-01-08 12:00:00+00:00,10.0,1.0,2.0,0.0,6.6565,8.49695,8.49695
2019-01-08 13:00:00+00:00,10.0,1.0,2.0,0.0,6.79413,8.53824,8.53824
2019-01-08 14:00:00+00:00,10.0,1.0,2.0,0.0,6.6244,8.48732,8.48732
2019-01-08 15:00:00+00:00,10.0,1.0,2.0,0.0,7.50157,8.75047,8.75047
2019-01-08 16:00:00+00:00,10.0,1.0,2.0,0.0,9.5528,9.36584,9.36584
2019-01-08 17:00:00+00:00,10.0,1.0,2.0,0.0,9.7946,9.438379999999999,9.438379999999999
2019-01-08 18:00:00+00:00,10.0,1.0,2.0,0.0,9.30627,9.291879999999999,9.291879999999999
2019-01-08 19:00:00+00:00,10.0,1.0,2.0,0.0,7.41337,8.72401,8.72401
2019-01-08 20:00:00+00:00,10.0,1.0,2.0,0.0,5.5,8.15,8.15
2019-01-08 21:00:00+00:00,10.0,1.0,2.0,0.0,3.4077,7.52231,7.52231
2019-01-08 22:00:00+00:00,10.0,1.0,2.0,0.0,0.690633,6.70719,6.70719
2019-01-08 23:00:00+00:00,10.0,1.0,2.0,0.56812,0.0,6.21594,6.21594
2019-01-09 00:00:00+00:00,10.0,1.0,2.0,0.63084,0.0,6.1845799999999995,6.1845799999999995
2019-01-09 01:00:00+00:00,10.0,1.0,2.0,0.99124,0.0,6.00438,6.00438
2019-01-09 02:00:00+00:00,10.0,1.0,2.0,1.15122,0.0,5.924390000000001,5.924390000000001
2019-01-09 03:00:00+00:00,10.0,1.0,2.0,0.9937,0.0,6.00315,6.00315
2019-01-09 04:00:00+00:00,10.0,1.0,2.0,0.178,0.0,6.411,6.411
2019-01-09 05:00:00+00:00,10.0,1.0,2.0,0.0,2.6553,7.29659,7.29659
2019-01-09 06:00:00+00:00,10.0,1.0,2.0,0.0,4.8048,7.941439999999999,7.941439999999999
2019-01-09 07:00:00+00:00,10.0,1.0,2.0,0.0,7.45657,8.73697,8.73697
2019-01-09 08:00:00+00:00,10.0,1.0,2.0,0.0,8.79763,9.13929,9.13929
2019-01-09 09:00:00+00:00,10.0,1.0,2.0,0.0,9.37023,9.311069999999999,9.311069999999999
2019-01-09 10:00:00+00:00,10.0,1.0,2.0,0.0,9.32897,9.29869,9.29869
2019-01-09 11:00:00+00:00,10.0,1.0,2.0,0.0,9.14537,9.24361,9.24361
2019-01-09 12:00:00+00:00,10.0,1.0,2.0,0.0,8.20333,8.961,8.961
2019-01-09 13:00:00+00:00,10.0,1.0,2.0,0.0,8.4647,9.03941,9.03941
