,,Optimal Capacity,Installed Capacity,Capacity Factor,Dispatch,Transmission,Withdrawal,Supply,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
Generator,Diesel,5.0,5.0,0.42,92951.09,0.0,0.0,92951.09,0.0,0.0,37366339.16,32404392.52,348.62
Generator,Solar,1.0,1.0,0.96,42209.52,0.0,0.0,42209.52,942.06,0.0,422095.15,8423965.87,199.58
Line,AC,4.72,0.0,0.45,0.0,92951.09,92951.09,92951.09,0.0,0.0,0.0,0.0,
Link,Electrolysis,2.33,2.5,0.15,-3843.77,0.0,15375.07,11531.3,0.0,398293.84,0.0,398293.78,34.54
Link,Fuel Cell,1.01,1.2,0.26,-4035.96,0.0,11531.33,7495.36,0.0,120732.15,0.0,120732.18,16.11
Load,-,0.0,0.0,,-127280.89,0.0,127280.89,0.0,0.0,0.0,0.0,-41419943.44,
Store,Hydrogen Store,16.87,15.0,0.19,0.03,0.0,11531.3,11531.33,0.0,72558.3,0.0,72565.9,6.29
