,carrier,Capacity Factor,Capital Expenditure,Curtailment,Dispatch,Installed Capacity,Market Value,Operational Expenditure,Optimal Capacity,Revenue,Supply,Withdrawal
Generator,diesel,0.4585622328968254,0.0,0.0,115557.68269,5.0,251.93939548399575,35245093.22045,5.0,29113532.720450006,115557.68269,0.0
Generator,solar,0.6171270953107142,0.0,18888.031694880377,31103.205603659982,1.0,93.53627258477684,746476.9344878402,1.0,2909277.9176043,31103.205603659982,0.0
Line,AC,0.48584845375670976,0.0,,-115557.68269000002,0.0,-0.0,,4.71919,0.0,115557.68269000002,-115557.68269000002
Load,-,,,,-146660.88793250002,,-218.34594603165226,,,32022810.321463846,0.0,-146660.88793250002
