snapshot,Generator 0,Generator 1,Generator 2,Electrolysis,Fuel Cell,Load 0,Load 1
2019-01-01 00:00:00+00:00,5.19519,0.01,0.02,0.0,0.0,2.612595,2.612595
2019-01-01 01:00:00+00:00,4.98627,0.0,0.0,0.0,0.0,2.493135,2.493135
2019-01-01 02:00:00+00:00,4.72882,0.01,0.02,0.0,0.0,2.37941,2.37941
2019-01-01 03:00:00+00:00,4.55034,0.01,0.02,0.0,0.0,2.2901700000000003,2.2901700000000003
2019-01-01 04:00:00+00:00,4.575,0.01,0.02,0.0,0.0,2.3025,2.3025
2019-01-01 05:00:00+00:00,4.71584,0.01,0.02,0.0,0.0,2.37292,2.37292
2019-01-01 06:00:00+00:00,4.65207,0.105,0.21,0.0,0.0,2.483535,2.483535
2019-01-01 07:00:00+00:00,4.05878,0.4975,0.995,0.0,0.0,2.7756399999999997,2.7756399999999997
2019-01-01 08:00:00+00:00,4.06066,0.73,1.46,0.0,0.0,3.12533,3.12533
2019-01-01 09:00:00+00:00,3.59905,1.0675,2.135,0.0,0.0,3.400775,3.400775
2019-01-01 10:00:00+00:00,3.14779,1.2475,2.495,0.0,0.0,3.445145,3.445145
2019-01-01 11:00:00+00:00,2.89984,1.225,2.45,0.0,0.0,3.28742,3.28742
2019-01-01 12:00:00+00:00,1.49949,1.465,2.93,0.0,0.0,2.9472449999999997,2.9472449999999997
2019-01-01 13:00:00+00:00,3.78039,0.7,1.4,0.0,0.0,2.940195,2.940195
2019-01-01 14:00:00+00:00,5.1677,0.255,0.51,0.0,0.0,2.96635,2.96635
2019-01-01 15:00:00+00:00,5.8975,0.0325,0.065,0.0,0.0,2.9975,2.9975
2019-01-01 16:00:00+00:00,6.59419,0.0,0.0,0.0,0.0,3.2970949999999997,3.2970949999999997
2019-01-01 17:00:00+00:00,6.62653,0.02,0.04,0.0,0.0,3.3432649999999997,3.3432649999999997
2019-01-01 18:00:00+00:00,6.16744,0.0,0.0,0.0,0.814024,3.327925,3.327925
2019-01-01 19:00:00+00:00,6.42652,0.0175,0.035,0.0,0.0,3.23951,3.23951
2019-01-01 20:00:00+00:00,6.14713,0.0,0.0,0.0,0.0,3.073565,3.073565
2019-01-01 21:00:00+00:00,5.882,0.01,0.02,0.0,0.0,2.956,2.956
2019-01-01 22:00:00+00:00,5.30945,0.005,0.01,0.0,0.0,2.662225,2.662225
2019-01-01 23:00:00+00:00,4.52036,0.0025,0.005,0.0,0.547232,2.4280999999999997,2.4280999999999997
2019-01-02 00:00:00+00:00,4.2902,0.0025,0.005,0.0,0.814024,2.393055,2.393055
2019-01-02 01:00:00+00:00,4.58193,0.0,0.0,0.0,0.0,2.2909650000000004,2.2909650000000004
2019-01-02 02:00:00+00:00,4.46257,0.0,0.0,0.0,0.0,2.2312849999999997,2.2312849999999997
2019-01-02 03:00:00+00:00,4.53309,0.0,0.0,0.0,0.0,2.2665450000000003,2.2665450000000003
2019-01-02 04:00:00+00:00,4.84193,0.0,0.0,0.0,0.0,2.4209650000000003,2.4209650000000003
2019-01-02 05:00:00+00:00,4.83915,0.0025,0.005,0.0,0.814024,2.66753,2.66753
2019-01-02 06:00:00+00:00,4.31352,0.365,0.73,0.0,0.814024,2.948465,2.948465
2019-01-02 07:00:00+00:00,1.78009,1.4225,2.845,0.0,0.814024,3.268,3.268
2019-01-02 08:00:00+00:00,0.0,2.4525,4.905,0.4075,0.0,3.475,3.475
2019-01-02 09:00:00+00:00,0.0,2.9875,5.975,1.69912,0.0,3.63169,3.63169
2019-01-02 10:00:00+00:00,0.0,3.1025,6.205,1.9805,0.0,3.6635,3.6635
2019-01-02 11:00:00+00:00,0.0,2.9425,5.885,1.4186,0.0,3.70445,3.70445
2019-01-02 12:00:00+00:00,0.0,2.7125,5.425,1.0905,0.0,3.5235,3.5235
2019-01-02 13:00:00+00:00,2.92235,1.4475,2.895,0.0,0.0,3.632425,3.632425
2019-01-02 14:00:00+00:00,5.54323,0.535,1.07,0.0,0.0,3.574115,3.574115
2019-01-02 15:00:00+00:00,7.10706,0.0625,0.125,0.0,0.0,3.6472800000000003,3.6472800000000003
2019-01-02 16:00:00+00:00,7.713,0.0,0.0,0.0,0.0,3.8565,3.8565
2019-01-02 17:00:00+00:00,7.7734,0.0,0.0,0.0,0.0,3.8867,3.8867
2019-01-02 18:00:00+00:00,7.6695,0.0025,0.005,0.0,0.0,3.8385,3.8385
2019-01-02 19:00:00+00:00,7.39837,0.0,0.0,0.0,0.0,3.699185,3.699185
2019-01-02 20:00:00+00:00,6.966,0.0,0.0,0.0,0.0,3.483,3.483
2019-01-02 21:00:00+00:00,6.516,0.0,0.0,0.0,0.0,3.258,3.258
2019-01-02 22:00:00+00:00,5.8247,0.0,0.0,0.0,0.0,2.91235,2.91235
2019-01-02 23:00:00+00:00,5.3098,0.0,0.0,0.0,0.0,2.6549,2.6549
2019-01-03 00:00:00+00:00,5.22771,0.0,0.0,0.0,0.0,2.613855,2.613855
2019-01-03 01:00:00+00:00,5.03736,0.0,0.0,0.0,0.0,2.51868,2.51868
2019-01-03 02:00:00+00:00,4.89852,0.0,0.0,0.0,0.0,2.44926,2.44926
2019-01-03 03:00:00+00:00,4.9105,0.0025,0.005,0.0,0.0,2.459,2.459
2019-01-03 04:00:00+00:00,5.242,0.005,0.01,0.0,0.0,2.6285,2.6285
2019-01-03 05:00:00+00:00,6.05854,0.01,0.02,0.0,0.0,3.04427,3.04427
