,carrier,Capacity Factor,Capital Expenditure,Curtailment,Dispatch,Installed Capacity,Market Value,Operational Expenditure,Optimal Capacity,Revenue,Supply,Withdrawal
Generator,diesel,0.42832438851834204,0.0,0.0,107886.34698000002,5.0,424.73554129601507,53943173.49,5.0,45823165.982999995,107886.34698000002,0.0
Generator,solar,0.9775933679561697,0.0,707.9675035165486,49247.24350415998,1.0,198.06392986678176,1181933.8440998401,1.0,9754102.58354027,49247.24350415998,0.0
Line,AC,0.45644116423523234,0.0,,-107886.34697999996,0.0,-0.0,,4.692,0.0,107886.34697999996,-107886.34697999996
Link,electrolysis,0.14231457593469443,177321.90000000002,,-18160.901353408997,2.5,-39.763939829346626,544827.04060227,2.53317,722148.9886636552,12712.6309473863,-18160.901353408997
Link,fuel cell,0.22039730509676053,80150.0,,-12712.6311645798,1.2,-36.30474175765385,381378.93493739516,1.145,461528.79149037227,7627.578698747897,-12712.6311645798
Load,AC,,,,-146600.25197750007,,-387.7421696002928,,,56843099.76570544,0.0,-146600.25197750007
Store,hydrogen,0.2780323821935415,82160.40000000001,,-0.0012295301995060015,15.0,-66822595.266037405,-0.012295302032271138,13.6934,82160.39891353066,12712.631164579707,-12712.63239411001
