DATE,HOUR,ENERGY(MWh)
20200510,21,161.1426818
20200510,22,162.945405
20200510,23,154.95589
20200510,24,152.072785
20200511,1,151.382325
20200511,2,149.556725
20200511,3,150.66615
20200511,4,146.62632
20200511,5,150.48058
20200511,6,156.774155
20200511,7,172.1623867
20200511,8,363.697866
20200511,9,775.1270119
20200511,10,1279.922404
20200511,11,1783.028098
20200511,12,2094.549144
20200511,13,2269.887312
20200511,14,2319.363256
20200511,15,2250.65769
20200511,16,2045.504045
20200511,17,1654.469314
20200511,18,1118.748849
20200511,19,669.3828327
20200511,20,363.3508516
20200511,21,225.2829161
20200511,22,213.2782979
20200511,23,224.6307
20200511,24,226.27395
20200512,1,225.48896
20200512,2,215.94742
20200512,3,217.72867
20200512,4,219.60399
20200512,5,211.73152
20200512,6,197.00978
20200512,7,211.2616227
20200512,8,398.6000927
20200512,9,801.6947281
20200512,10,1292.642234
20200512,11,1702.193152
20200512,12,1968.778672
20200512,13,2139.413176
20200512,14,2188.794077
20200512,15,2140.796092
20200512,16,1988.566156
20200512,17,1713.046409
20200512,18,1293.866761
20200512,19,754.1259658
20200512,20,333.0617117
20200512,21,183.2370185
20200512,22,168.8723248
20200512,23,159.72407
20200512,24,167.90796
20200513,1,180.90703
20200513,2,182.8470237
20200513,3,178.887255
20200513,4,167.5814095
20200513,5,163.3235456
20200513,6,153.4470145
20200513,7,163.0221397
20200513,8,361.4550497
20200513,9,861.540952
20200513,10,1396.001312
20200513,11,1824.852948
20200513,12,2099.798684
20200513,13,2251.761083
20200513,14,2284.086946
20200513,15,2218.424408
20200513,16,2021.805071
20200513,17,1697.44464
20200513,18,1226.47269
20200513,19,688.992985
20200513,20,294.8253589
20200513,21,144.6467692
20200513,22,138.6914943
20200513,23,142.9048056
20200513,24,142.4782075
20200514,1,137.5658275
20200514,2,136.7629207
20200514,3,137.9760518
20200514,4,138.0522912
20200514,5,136.6972612
20200514,6,134.8412437
20200514,7,156.6909963
20200514,8,349.9990147
20200514,9,739.4387793
20200514,10,1207.281283
20200514,11,1574.456683
20200514,12,1830.775122
20200514,13,1968.683453
20200514,14,2062.946136
20200514,15,2000.89173
20200514,16,1846.686864
20200514,17,1510.400423
20200514,18,1069.956521
20200514,19,620.6453983
20200514,20,328.0378767
20200514,21,178.9538055
20200514,22,171.6271821
20200514,23,170.2119347
20200514,24,170.1380121
20200515,1,171.1021226
20200515,2,166.1331382
20200515,3,163.6704842
20200515,4,160.7900626
20200515,5,154.9011087
20200515,6,151.68669
20200515,7,163.6599979
20200515,8,341.352994
20200515,9,658.4208826
20200515,10,1038.755136
20200515,11,1418.969383
20200515,12,1751.13053
20200515,13,1980.813349
20200515,14,2013.753235
20200515,15,1915.569615
20200515,16,1707.755989
20200515,17,1374.322929
20200515,18,948.5245892
20200515,19,568.54794
20200515,20,301.2785202
20200515,21,167.2158916
20200515,22,156.7515758
20200515,23,144.7597899
20200515,24,135.5337763
20200516,1,137.6162913
20200516,2,136.7904823
20200516,3,133.7776468
20200516,4,129.1918187
20200516,5,127.1276373
20200516,6,127.6658892
20200516,7,153.1417829
20200516,8,338.9163707
20200516,9,710.3817781
20200516,10,1150.371062
20200516,11,1543.929445
20200516,12,1754.391468
20200516,13,1849.268101
20200516,14,1873.281607
20200516,15,1829.790877
20200516,16,1643.237995
20200516,17,1359.254801
20200516,18,997.169632
20200516,19,608.8266394
20200516,20,289.3143009
20200516,21,143.482838
20200516,22,134.4198425
20200516,23,134.5156765
20200516,24,132.8530426
20200517,1,132.499322
20200517,2,133.0858289
20200517,3,130.38959
20200517,4,131.4532426
20200517,5,134.704875
20200517,6,133.3564131
20200517,7,153.7964854
20200517,8,333.1288451
20200517,9,610.1181305
20200517,10,981.8089257
20200517,11,1328.57063
20200517,12,1592.253118
20200517,13,1773.225032
20200517,14,1823.783621
20200517,15,1792.111399
20200517,16,1646.124082
20200517,17,1385.877181
20200517,18,1010.099155
20200517,19,617.250417
20200517,20,296.2502089
20200517,21,132.7307793
20200517,22,118.5219353
20200517,23,127.4717561
20200517,24,133.630768
20200518,1,136.4785799
20200518,2,134.6182412
20200518,3,132.4804518
20200518,4,137.8105631
20200518,5,142.2218562
20200518,6,145.9337926
20200518,7,171.4186642
20200518,8,365.046319
20200518,9,725.4980454
20200518,10,1195.885909
20200518,11,1591.109472
20200518,12,1875.415653
20200518,13,2048.603625
20200518,14,2096.355971
20200518,15,2025.299817
20200518,16,1856.914521
20200518,17,1548.636591
20200518,18,1100.341842
20200518,19,625.044163
20200518,20,307.0153813
20200518,21,167.9742899
20200518,22,162.7144289
20200518,23,172.0897587
20200518,24,169.9130767
20200519,1,169.0351661
20200519,2,169.5517435
20200519,3,162.8803902
20200519,4,156.1643657
20200519,5,155.2285218
20200519,6,161.2654126
20200519,7,193.2874495
20200519,8,375.3219142
20200519,9,712.4682427
20200519,10,1106.475736
20200519,11,1464.188573
20200519,12,1731.157204
20200519,13,1878.678777
20200519,14,1917.818918
20200519,15,1815.103848
20200519,16,1625.32925
20200519,17,1329.274291
20200519,18,976.7749172
20200519,19,604.7701697
20200519,20,310.0163988
20200519,21,162.2629325
20200519,22,139.2533434
20200519,23,137.1740906
20200519,24,151.0749593
20200520,1,153.1149418
20200520,2,159.6818368
20200520,3,155.3736073
20200520,4,149.5864834
20200520,5,138.0489223
20200520,6,141.6518047
20200520,7,155.1085849
20200520,8,323.3773299
20200520,9,590.2470171
20200520,10,901.4221694
20200520,11,1166.883877
20200520,12,1381.850744
20200520,13,1608.836867
20200520,14,1777.02854
20200520,15,1855.913776
20200520,16,1765.730101
20200520,17,1511.961157
20200520,18,1145.094906
20200520,19,698.8837928
20200520,20,335.1824852
20200520,21,196.022406
20200520,22,186.8493151
20200520,23,178.2712378
20200520,24,179.4402605
20200521,1,173.6114282
20200521,2,188.8721211
20200521,3,190.5101896
20200521,4,190.324841
20200521,5,191.9025165
20200521,6,191.5360634
20200521,7,209.3337129
20200521,8,401.8073235
20200521,9,786.4687184
20200521,10,1104.788143
20200521,11,1281.289551
20200521,12,1411.346412
20200521,13,1445.265056
20200521,14,1395.42267
20200521,15,1327.985955
20200521,16,1080.356897
20200521,17,788.7937228
20200521,18,685.0655033
20200521,19,415.9087988
20200521,20,269.3296084
20200521,21,213.0091626
20200521,22,212.9425232
20200521,23,206.6650909
20200521,24,210.7161481
20200522,1,211.6439459
20200522,2,214.5390833
20200522,3,213.1497852
20200522,4,225.4280805
20200522,5,235.204496
20200522,6,243.6206081
20200522,7,257.4181406
20200522,8,393.3086548
20200522,9,697.3098317
20200522,10,1100.953944
20200522,11,1410.949794
20200522,12,1651.632341
20200522,13,1704.918016
20200522,14,1735.650763
20200522,15,1636.489447
20200522,16,1538.419173
20200522,17,1425.537168
20200522,18,1114.0746
20200522,19,693.2206687
20200522,20,306.5999676
20200522,21,165.4836309
20200522,22,150.3972838
20200522,23,148.1350185
20200522,24,145.5887584
20200523,1,141.0347068
20200523,2,139.4277545
20200523,3,134.878293
20200523,4,133.2562266
20200523,5,142.8155135
20200523,6,135.8256985
20200523,7,159.0842885
20200523,8,372.2543607
20200523,9,855.9779093
20200523,10,1350.793967
20200523,11,1697.538309
20200523,12,1968.742989
20200523,13,2087.423908
20200523,14,2033.697865
20200523,15,2004.394396
20200523,16,1804.186358
20200523,17,1490.638741
20200523,18,1142.343024
20200523,19,698.4465755
20200523,20,327.5543986
20200523,21,169.0056378
20200523,22,151.2748617
20200523,23,143.4794268
20200523,24,134.5820105
20200524,1,134.0337044
20200524,2,131.8923892
20200524,3,122.373156
20200524,4,126.1286829
20200524,5,126.1389423
20200524,6,125.3948472
20200524,7,144.0574054
20200524,8,350.4249738
20200524,9,834.9092648
20200524,10,1348.023784
20200524,11,1764.775481
20200524,12,2063.924501
20200524,13,2221.949511
20200524,14,2259.769169
20200524,15,2160.418538
20200524,16,1940.047738
20200524,17,1633.221263
20200524,18,1222.918834
20200524,19,692.0633983
20200524,20,289.0907303
20200524,21,163.649029
20200524,22,158.9821498
20200524,23,168.4765533
20200524,24,166.2439033
20200525,1,158.484488
20200525,2,160.1288721
20200525,3,178.0774943
20200525,4,191.6153987
