,,Optimal Capacity,Installed Capacity,Capacity Factor,Dispatch,Transmission,Withdrawal,Supply,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
Generator,Diesel,5.0,5.0,0.43,94984.73,0.0,0.0,94984.73,0.0,0.0,35438802.45,29984123.73,315.67
Generator,Solar,1.0,1.0,0.94,41057.66,0.0,0.0,41057.66,2093.91,0.0,410576.59,5697466.97,138.77
Line,AC,4.72,0.0,0.46,0.0,94984.73,94984.73,94984.73,0.0,0.0,0.0,0.0,
Link,Electrolysis,1.82,2.5,0.18,-5120.36,0.0,14223.22,9102.86,0.0,557998.64,0.0,558001.67,61.3
Link,Fuel Cell,0.63,1.2,0.33,-3641.14,0.0,9102.84,5461.71,0.0,224413.84,0.0,224413.84,41.09
Load,-,0.0,0.0,,-127280.89,0.0,127280.89,0.0,0.0,0.0,0.0,-36526677.01,
Store,Hydrogen Store,10.93,15.0,0.3,-0.01,0.0,9102.85,9102.84,0.0,62671.47,0.0,62669.96,6.88
