Component,carrier,bus,from_bus,to_bus,p_nom,capital_cost,marginal_cost,input_series_source_type,input_series_source_uri,use_case_name,investment_period,efficiency,timestamp
Bus,AC,Bus 0,,,,,,,,baseline,,,2024.03.05 21.52.16
Bus,AC,Bus 1,,,,,,,,baseline,,,2024.03.05 21.52.16
Generator,Diesel,Bus 0,,,5.0,0.0,373.1,,,,,,
Generator,Solar,Bus 1,,,1.0,0.0,10.0,csv file,pv_data1.csv,,,,
Line,AC,,Bus 0,Bus 1,,,,,,,,,
Load,AC,Bus 1,,,,,,csv file,load_data1.csv,,5.0,,
