,Diesel,Solar
0,0.12499699999999991,-0.12499699999999991
1,0.12499699999999991,-0.12499699999999991
2,0.11900974999999994,-0.11900974999999994
3,0.11631324999999991,-0.11631324999999991
4,0.11706449999999993,-0.11706449999999993
5,0.11809574999999993,-0.11809574999999993
6,0.12263399999999994,-0.12263399999999994
7,0.11899939999999994,-0.11899939999999994
8,0.11449369999999995,-0.11449369999999995
9,0.11161099999999996,-0.11161099999999996
10,0.11179074999999995,-0.11179074999999995
11,0.10378249999999997,-0.10378249999999997
12,0.09797174999999994,-0.09797174999999994
13,0.12043519999999992,-0.12043519999999992
14,0.1509100999999999,-0.1509100999999999
15,0.1637576999999999,-0.1637576999999999
16,0.14366549999999992,-0.14366549999999992
17,0.1801059999999999,-0.1801059999999999
18,0.17918749999999992,-0.17918749999999992
19,0.14641812999999995,-0.14641812999999995
20,0.1623654999999999,-0.1623654999999999
21,0.15538274999999993,-0.15538274999999993
22,0.14240749999999994,-0.14240749999999994
23,0.13034299999999993,-0.13034299999999993
24,0.12832474999999993,-0.12832474999999993
25,0.12356699999999994,-0.12356699999999994
26,0.11967649999999995,-0.11967649999999995
27,0.11894924999999995,-0.11894924999999995
28,0.12336649999999993,-0.12336649999999993
29,0.13146257499999997,-0.13146257499999997
30,0.12994124999999992,-0.12994124999999992
31,0.10786724999999994,-0.10786724999999994
32,0.07868874999999995,-0.07868874999999995
33,0.07499979999999996,-0.07499979999999996
34,0.07499984999999998,-0.07499984999999998
35,0.07500014999999999,-0.07500014999999999
36,0.07499984999999997,-0.07499984999999997
37,0.09257049999999996,-0.09257049999999996
38,0.15010149999999992,-0.15010149999999992
39,0.1819236869999999,-0.1819236869999999
40,0.1974339999999999,-0.1974339999999999
41,0.1973929999999999,-0.1973929999999999
42,0.19475724999999988,-0.19475724999999988
43,0.18739949999999989,-0.18739949999999989
44,0.1756917499999999,-0.1756917499999999
45,0.1659117499999999,-0.1659117499999999
46,0.1522739999999999,-0.1522739999999999
47,0.13605349999999994,-0.13605349999999994
48,0.13517099999999993,-0.13517099999999993
49,0.10166698999999994,-0.10166698999999994
50,0.12610249999999995,-0.12610249999999995
51,0.12491924999999995,-0.12491924999999995
52,0.1297912499999999,-0.1297912499999999
53,0.13664084349999991,-0.13664084349999991
54,0.13291334999999996,-0.13291334999999996
55,0.11934994999999994,-0.11934994999999994
56,0.09825024999999994,-0.09825024999999994
57,0.08184824999999996,-0.08184824999999996
58,0.07499984999999995,-0.07499984999999995
59,0.07499974999999995,-0.07499974999999995
60,0.07499984999999995,-0.07499984999999995
61,0.09375824999999996,-0.09375824999999996
62,0.14997249999999993,-0.14997249999999993
63,0.18403352999999992,-0.18403352999999992
64,0.2023134999999999,-0.2023134999999999
65,0.20246149999999988,-0.20246149999999988
66,0.19764024999999988,-0.19764024999999988
67,0.1874647499999999,-0.1874647499999999
68,0.17467149999999992,-0.17467149999999992
69,0.16345299999999993,-0.16345299999999993
70,0.14921524999999994,-0.14921524999999994
71,0.13624974999999992,-0.13624974999999992
72,0.13460924999999993,-0.13460924999999993
73,0.12945974999999993,-0.12945974999999993
74,0.12338774999999993,-0.12338774999999993
75,0.12176474999999994,-0.12176474999999994
76,0.12381399999999994,-0.12381399999999994
77,0.12559393699999996,-0.12559393699999996
78,0.12484644999999994,-0.12484644999999994
79,0.11322884999999995,-0.11322884999999995
80,0.09909374999999997,-0.09909374999999997
81,0.09280749999999995,-0.09280749999999995
82,0.07758174999999995,-0.07758174999999995
83,0.07586324999999995,-0.07586324999999995
84,0.08584124999999997,-0.08584124999999997
85,0.11850259999999993,-0.11850259999999993
86,0.15354554999999992,-0.15354554999999992
87,0.1706385934999999,-0.1706385934999999
88,0.1850407499999999,-0.1850407499999999
89,0.1853717499999999,-0.1853717499999999
90,0.1851637499999999,-0.1851637499999999
91,0.1791914999999999,-0.1791914999999999
92,0.1672002499999999,-0.1672002499999999
93,0.15767224999999993,-0.15767224999999993
94,0.14119399999999993,-0.14119399999999993
95,0.12709049999999994,-0.12709049999999994
96,0.12502474999999993,-0.12502474999999993
97,0.12024449999999993,-0.12024449999999993
98,0.11642374999999995,-0.11642374999999995
99,0.11727049999999993,-0.11727049999999993
100,0.12715574999999993,-0.12715574999999993
101,0.14271274999999994,-0.14271274999999994
102,0.15110439999999992,-0.15110439999999992
103,0.13744554999999992,-0.13744554999999992
104,0.10603724999999994,-0.10603724999999994
105,0.08543024999999996,-0.08543024999999996
106,0.08602974999999995,-0.08602974999999995
107,0.09476124999999995,-0.09476124999999995
108,0.10345199999999993,-0.10345199999999993
109,0.14006499999999994,-0.14006499999999994
110,0.18055259999999992,-0.18055259999999992
111,0.1978659349999999,-0.1978659349999999
112,0.21143299999999987,-0.21143299999999987
113,0.21160324999999988,-0.21160324999999988
114,0.17541199999999993,-0.17541199999999993
115,0.1974494999999999,-0.1974494999999999
116,0.1809292499999999,-0.1809292499999999
117,0.1694047499999999,-0.1694047499999999
118,0.16071299999999994,-0.16071299999999994
119,0.14090849999999994,-0.14090849999999994
120,0.1394382499999999,-0.1394382499999999
121,0.13355724999999993,-0.13355724999999993
122,0.12895174999999992,-0.12895174999999992
123,0.12877499999999992,-0.12877499999999992
124,0.10541468999999996,-0.10541468999999996
125,0.13594324499999993,-0.13594324499999993
126,0.12888819999999995,-0.12888819999999995
127,0.08302949999999995,-0.08302949999999995
128,0.07499974999999998,-0.07499974999999998
129,0.07500014999999996,-0.07500014999999996
130,0.07499974999999995,-0.07499974999999995
131,0.07500014999999996,-0.07500014999999996
