,PV Park
226,3.0047281323877066
227,3.037825059101655
228,2.652482269503546
229,1.7352245862884161
230,0.6264775413711584
231,0.030732860520094562
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.05200945626477541
246,0.5271867612293144
247,1.8085106382978724
248,2.789598108747045
249,3.2813238770685578
250,3.4775413711583925
251,3.2458628841607564
252,2.6430260047281324
253,1.5768321513002364
254,0.5390070921985816
255,0.05200945626477541
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.02127659574468085
270,0.13002364066193853
271,0.5130023640661938
272,1.1442080378250592
273,1.6879432624113475
274,2.016548463356974
275,2.061465721040189
276,1.8747044917257683
277,1.2364066193853427
278,0.4846335697399527
279,0.05673758865248227
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.04964539007092199
294,0.46808510638297873
295,1.8132387706855793
296,2.9952718676122934
297,3.508274231678487
298,3.6808510638297873
299,3.3853427895981087
300,3.078014184397163
301,2.1702127659574466
302,0.7919621749408984
303,0.07328605200945626
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.030732860520094562
318,0.5508274231678487
319,1.988179669030733
320,3.0803782505910164
321,3.647754137115839
322,3.8297872340425534
323,3.685579196217494
324,3.224586288416076
325,2.3026004728132388
326,0.8652482269503546
327,0.04018912529550828
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.004728132387706856
342,0.458628841607565
343,1.8085106382978724
344,2.971631205673759
345,3.5768321513002364
346,3.7872340425531914
347,3.685579196217494
348,3.198581560283688
349,2.269503546099291
350,0.8534278959810875
351,0.04018912529550828
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
