,Line
408,-2.58616
409,-2.47632
410,-2.38612
411,-2.36036
412,-2.41484
413,-2.46321
414,-2.40738
415,-2.25771
416,-2.31247
417,-2.26015
418,-2.22264
419,-2.21557
420,-2.30439
421,-2.69261
422,-3.03643
423,-3.29992
424,-3.57522
425,-3.60443
426,-3.55924
427,-3.41413
428,-3.17266
429,-2.97885
430,-2.66366
431,-2.40532
432,-2.38288
433,-2.29476
434,-2.22777
435,-2.28093
436,-2.53126
437,-2.94971
438,-2.97038
439,-2.67271
440,-2.00908
441,-1.679
442,-1.5
443,-1.50701
444,-1.701
445,-2.33752
446,-3.00929
447,-3.41954
448,-3.80188
449,-3.8202
450,-3.78199
451,-3.56725
452,-3.26293
453,-3.01437
454,-2.72628
455,-2.47149
456,-2.46019
457,-2.3868
458,-2.33124
459,-2.37459
460,-2.61591
461,-3.03333
462,-2.86989
463,-2.19578
464,-1.5
465,-1.5
466,-1.5
467,-1.5
468,-1.72996
469,-2.60871
470,-3.10855
471,-3.42079
472,-3.77757
473,-3.815
474,-3.61399
475,-3.50524
476,-3.204
477,-2.28273
478,-2.00144
479,-2.47792
480,-2.45872
481,-2.37698
482,-2.33985
483,-2.38043
484,-2.61291
485,-3.00533
486,-2.97022
487,-2.65242
488,-2.11669
489,-1.5
490,-1.5
491,-1.5
492,-1.5
493,-1.77986
494,-2.58602
495,-3.23035
496,-3.60923
497,-2.96978
498,-3.63958
499,-3.45474
500,-3.15671
501,-2.92307
502,-2.674
503,-2.4528
504,-2.44408
505,-2.3672
506,-2.33117
507,-2.36469
508,-2.5966
509,-2.97984
510,-2.73327
511,-2.14588
512,-1.5
513,-1.5
514,-1.5
515,-1.5
516,-1.5
517,-1.67019
518,-2.60344
519,-3.2364
520,-3.62135
521,-3.64418
522,-3.60419
523,-3.38031
524,-3.11591
525,-2.89486
526,-2.63981
527,-2.42061
528,-2.38691
529,-2.29842
530,-2.23426
531,-2.27051
532,-2.45715
533,-2.73156
534,-2.66863
535,-2.12671
536,-1.5
537,-1.5
538,-1.5
539,-1.5
540,-1.86372
541,-2.39236
542,-2.95066
543,-3.29536
544,-3.62473
545,-3.64767
546,-3.61621
547,-3.3971
548,-3.12689
549,-2.96705
550,-2.71398
551,-2.50997
552,-2.48353
553,-2.3968
554,-2.32688
555,-2.31751
556,-2.39063
557,-2.53093
558,-2.56372
559,-2.38723
560,-2.19751
561,-2.08333
562,-2.04524
563,-2.19229
564,-2.45864
565,-2.82302
566,-3.22292
567,-3.39801
568,-3.6838
569,-3.69887
570,-3.60243
571,-3.40703
572,-3.14751
573,-2.97038
574,-2.70689
575,-2.47823
576,-1.73602
577,-1.60772
578,-2.22547
579,-1.82118
580,-2.33234
581,-2.44492
582,-2.30191
583,-1.59087
584,-1.5
585,-1.5
586,-1.5
587,-1.5
588,-1.5
589,-1.5
590,-2.1412
591,-2.76563
592,-3.19199
593,-3.26385
594,-3.26032
595,-3.1726
596,-3.03131
597,-2.91851
598,-2.66261
599,-2.42444
600,-2.38964
601,-2.29619
602,-2.24596
603,-2.26621
604,-2.48046
605,-2.77697
606,-2.75894
607,-2.4183
608,-2.01769
609,-1.88248
610,-2.00244
611,-2.3439
612,-2.68079
613,-3.02518
614,-3.3208
615,-3.491
616,-3.78432
617,-3.84732
618,-3.8329
619,-3.60637
620,-3.29225
621,-3.02946
622,-2.7555
623,-2.34558
624,-2.52018
625,-1.72897
626,-2.3618
627,-2.40865
628,-2.6305
629,-3.04738
630,-3.21521
631,-3.27045
632,-3.02438
633,-2.76959
634,-2.70465
635,-2.505
636,-2.47908
637,-2.99701
638,-3.32007
639,-3.58667
640,-3.2493
641,-4.00521
642,-3.97933
643,-3.75152
644,-3.41993
645,-3.14388
646,-2.83197
647,-2.59222
648,-2.5556
649,-2.46853
650,-2.40435
651,-2.4547
652,-2.71075
653,-3.12141
654,-2.99117
655,-2.49554
656,-2.00038
657,-1.63956
658,-1.54715
659,-1.69093
660,-1.99636
661,-2.74364
662,-3.2985
663,-3.54948
664,-3.86695
665,-3.9129
666,-3.88388
667,-3.66979
668,-3.36054
669,-3.12073
670,-2.80735
671,-2.5593
672,-2.50851
673,-2.43404
674,-2.37976
675,-2.43226
676,-2.66201
677,-3.08944
678,-3.19249
679,-3.04963
680,-2.78054
681,-2.58019
682,-2.54072
683,-2.55142
684,-2.68303
685,-3.06069
686,-3.32528
687,-3.56251
688,-3.91675
689,-3.95259
690,-3.91743
691,-3.6862
692,-3.4026
693,-3.16975
694,-2.82409
695,-2.55987
696,-2.51882
697,-2.42815
698,-2.37907
699,-2.415
700,-2.64081
701,-2.99951
702,-3.03942
703,-2.82682
704,-2.3514
705,-1.87296
706,-1.66381
707,-1.8836
708,-2.23299
709,-2.83953
710,-3.19455
711,-3.46847
712,-3.79385
713,-3.80776
714,-3.73837
715,-3.48373
716,-3.21816
717,-3.01669
718,-2.74424
719,-2.50712
720,-2.47099
721,-2.37453
722,-2.29041
723,-2.26078
724,-2.35123
725,-2.45935
726,-2.59456
727,-2.63825
728,-2.58509
729,-2.29482
730,-2.25031
731,-2.44829
732,-2.6071
733,-2.79129
734,-3.04998
735,-3.2222
736,-3.55407
737,-3.60226
738,-3.48177
739,-3.25818
740,-2.99368
741,-2.80244
742,-2.53369
743,-2.30725
744,-2.26828
745,-2.15048
746,-2.06219
747,-2.03299
748,-2.09082
749,-2.13903
750,-2.09396
751,-1.80729
752,-1.5
753,-1.5
754,-1.5
755,-1.5
756,-1.5
757,-1.5
758,-2.12957
759,-2.64246
760,-3.04811
761,-3.16174
762,-3.14619
763,-3.06938
764,-2.84188
765,-2.62414
766,-2.34643
767,-2.13742
768,-1.5
769,-1.57332
770,-2.03636
771,-2.09652
772,-2.3185
773,-2.69968
774,-2.50776
775,-1.906
776,-1.5
777,-1.5
778,-1.5
779,-1.5
780,-1.54889
781,-2.18609
782,-2.59421
783,-3.20769
784,-2.91002
785,-3.71677
786,-3.69252
787,-3.48931
788,-3.14486
789,-2.89675
790,-1.91207
791,-2.33283
792,-2.30586
793,-1.52411
794,-2.18486
795,-2.20188
796,-1.78946
797,-2.91093
798,-2.36778
799,-1.5
800,-1.5
801,-1.5
802,-1.5
803,-1.5
804,-1.5
805,-1.5
806,-1.99406
807,-3.1572
808,-3.02349
809,-3.8346
810,-3.1435
811,-2.9332
812,-3.27671
813,-2.99627
814,-2.67956
815,-2.43341
816,-1.72763
817,-1.62986
818,-2.26795
819,-2.30998
820,-2.55973
821,-2.95213
822,-2.8054
823,-2.39023
824,-1.86157
825,-1.5
826,-1.5
827,-1.5
828,-1.5
829,-1.55595
830,-2.3494
