,Diesel,Solar,Hydrogen
145,2.69827,-2.6982649999999997,0.0
146,2.55904,-2.559038,0.0
147,2.65402,-2.65402,0.0
148,2.84879,-2.848795,0.0
149,3.19637,-3.1963662,0.0
150,3.11595,-3.115952,0.0
151,2.15712,-2.15712,0.0
152,1.5,-1.4999990000000003,-2.000000000335067e-07
153,1.5,-1.5000009999999993,1.9999999989472883e-07
154,1.5,-1.4999959999999997,-3.0000000006413785e-07
155,1.5,-1.5000050000000003,0.0
156,1.5,-1.499998,9.999999994736442e-08
157,2.03459,-2.0345900000000006,0.0
158,3.39123,-3.391225,0.0
159,4.16503,-4.1650281,0.0
160,3.85608,-3.856075,0.0
161,4.55387,-4.553875,0.0
162,4.4937,-4.4937,0.0
163,4.21089,-4.210885,0.0
164,3.84279,-3.8427849999999997,0.0
165,3.5865,-3.5865050000000003,0.0
166,2.59474,-2.5947350000000005,0.0
167,2.25807,-2.258065,0.0
168,2.93459,-2.934595,0.0
169,2.85398,-2.8539749999999997,0.0
170,2.77629,-2.7762849999999997,0.0
171,2.78148,-2.781485,0.0
172,3.02659,-3.02659,0.0
173,3.47193,-3.4719333999999997,0.0
174,3.40583,-3.405834,0.0
175,2.60388,-2.60388,0.0
176,1.6561,-1.6560949999999997,0.0
177,1.5,-1.500001,2.0000000000575113e-07
178,1.5,-1.499998,5.999999999617422e-07
179,1.5,-1.499998,1.0000000000287557e-07
180,1.5,-1.4999988999999998,2.999999999808711e-08
181,2.56598,-2.565975,0.0
182,3.68143,-3.6814299999999998,0.0
183,4.28916,-4.2891634,0.0
184,4.65552,-4.655525,0.0
185,3.99215,-3.99215,0.0
186,4.59755,-4.597555000000001,0.0
187,4.26375,-4.263755,0.0
188,3.86488,-3.864875,0.0
189,3.57494,-3.5749400000000002,0.0
190,3.22375,-3.22375,0.0
191,2.92251,-2.9225100000000004,0.0
192,2.89049,-2.89049,0.0
193,2.77977,-2.779775,0.0
194,2.73013,-2.73013,0.0
195,2.76103,-2.7610300000000003,0.0
196,2.9973,-2.997305,0.0
197,3.48781,-3.48780593,0.0
198,3.29434,-3.294341,0.0
199,2.15678,-2.156775,0.0
200,1.5,-1.499997,4.0000000001150227e-07
201,1.5,-1.5,-1.999999999946489e-06
202,1.5,-1.4999950000000002,-3.000000000086267e-06
203,1.5,-1.499995,-2.9999999999752447e-06
204,1.5,-1.5000020000000005,3.999999999559911e-07
205,2.03144,-2.031435,0.0
206,3.28404,-3.284045,0.0
207,4.04327,-4.0432733,0.0
208,4.46617,-4.466165,0.0
209,4.46145,-4.461455,0.0
210,4.3789,-4.3789,0.0
211,3.36227,-3.3622650000000003,0.0
212,3.70714,-3.707135,0.0
213,3.18216,-3.1821558000000003,0.0
214,2.44871,-2.44871,0.0
215,2.83766,-2.837665,0.0
216,2.80981,-2.80981,0.0
217,2.70612,-2.70612,0.0
218,2.60555,-2.605555,0.0
219,2.58438,-2.584375,0.0
220,2.65409,-2.65409,0.0
221,2.7719,-2.7718955000000003,0.0
222,2.81147,-2.811474,0.0
223,2.52725,-2.527248,0.0
224,1.73986,-1.7398600000000002,0.0
225,1.5,-1.500003,-4.000000000670134e-07
226,1.5,-1.4999979999999997,9.999999994736442e-08
227,1.5,-1.499995,-1.1102230246251565e-16
228,1.5,-1.5000019999999998,-1.0000000000287557e-07
229,1.77358,-1.7735849999999997,0.0
230,2.88365,-2.883652,0.0
231,3.60977,-3.6097721000000003,0.0
232,3.96521,-3.96521,0.0
233,3.9602,-3.9602,0.0
234,3.85954,-3.8595349999999997,0.0
235,2.97215,-2.97215,0.0
236,3.40113,-3.40113,0.0
237,3.19988,-3.199875,0.0
238,2.23165,-2.2316450000000003,0.0
239,1.98683,-1.9868299999999999,0.0
240,2.64199,-2.641985,0.0
241,2.50489,-2.504895,0.0
242,2.40375,-2.40375,0.0
243,1.69173,-1.691725,0.0
244,2.42821,-2.42821,0.0
245,2.44818,-2.4481755,0.0
246,2.0633,-2.063298,0.0
247,1.5,-1.5000009999999997,6.999999999646178e-07
248,1.5,-1.4999950000000002,-2.0000000001685336e-06
249,1.5,-1.4999999999999998,-2.0000000000575113e-06
250,1.5,-1.5000050000000005,6.999999999868223e-06
251,1.5,-1.500005,9.999999999177334e-07
252,1.5,-1.4999999999999998,2.9999999998642224e-06
